index,disease_name,supplement name,supplement image,buy link
21,Potato___Early_blight,Parin Herbal Fungicides (With Turmeric Extract),https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQzAaBb9Tc2B0iXiYc08qD2WM4vjAz4TZHI6qwj-D7nck2bbtYQUnnODSqPSK_Vz5NR1Am8aRbc2Rd0anzqgVKWq-0OlZ6wkjE-3x0jXihQ9F0kO8nJu7FT&usqp=CAE,https://raccolto.in/product/parin/
22,Potato___Late_blight,Syngenta Ridomil gold Fungicide ,https://krushikendra.com/image/cache/catalog/syngenta/RIDOMIL-GOLD-800x800.jpg,https://krushikendra.com/Buy-Syngenta-Ridomil-gold-Fungicide-250%20gram
23,Potato___healthy,Saosis Fertilizer for potato Fertilizer,https://rukminim1.flixcart.com/image/416/416/kfvfwy80/soil-manure/6/p/g/30-fertilizer-for-potato-saosis-original-imafw8b3sgcyrhh4.jpeg?q=70,"https://www.flipkart.com/saosis-fertilizer-potato/p/itmc40dfbfcd49f7?pid=SMNFW8B3DTY2V6PG&lid=LSTSMNFW8B3DTY2V6PGHC2BXS&marketplace=FLIPKART&cmpid=content_soil-manure_730597647_g_8965229628_gmc_pla&tgi=sem,1,G,11214002,g,search,,476044024748,,,,c,,,,,,,&ef_id=Cj0KCQjwsLWDBhCmARIsAPSL3_3TcmjyWFqJEZtCD0SQiDb9UFyESkiYtgU35W5Qs_KnTCkDS_Px2Y4aArmBEALw_wcB:G:s&s_kwcid=AL!739!3!476044024748!!!g!293946777986!&gclsrc=aw.ds"
24,Raspberry___healthy,"Karen's Naturals, Organic Just Raspberries",https://s3.images-iherb.com/jte/jte29001/v/6.jpg,https://in.iherb.com/pr/Karen-s-Naturals-Organic-Just-Raspberries-1-5-oz-42-g/37730?gclsrc=ds
25,Soybean___healthy,Max Crop Liquid Fertilizer,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRyFZFHGj1Wi0fabSOYVadCnsg8UdvhpKOHI6gxmItDLmz7RdC67HFFNyU7PYyD6SnlgXOs31yW_8-YWJKOeal7K4UQ3lAIxef-4x350ac&usqp=CAE,https://inputs.kalgudi.com/p/c/Max-Crop-Organic-Fertilizer/0n99_0n9a?query=Fertilizers&limit=20&view=grid
26,Squash___Powdery_mildew,No powdery mildew 1 quart,https://cdn.shopify.com/s/files/1/1667/9587/products/415B_2BfINScL.jpg?v=1536320654,https://www.amazon.com/Growers-Trust-Powdery-Non-Toxic-Biodegradable/dp/B01E9RQ28I
27,Strawberry___Leaf_scorch,Greatindos Premium Quality All in 1 Organic Fungicide,https://agribegri.com/productimage/7c94694109f2bc586189c695818111d2-04-12-23-16-09-35.jpg,https://agribegri.com/products/buy-organic-fungicide-online--organic-fungicide-with-best-rate-.php
28,Strawberry___healthy,SWISS GREEN ORGANIC PLANT GROWTH PROMOTER STRAWBERRY Fertilizer,https://rukminim1.flixcart.com/image/416/416/k2urhjk0/soil-manure/q/y/d/500-organic-plant-growth-promoter-strawberry-swiss-green-original-imafm3vx8mzyhxzg.jpeg?q=70,https://www.flipkart.com/swiss-green-organic-plant-growth-promoter-strawberry-fertilizer-manure/p/itmcaf7955b802fa?pid=SMNFM3TT2RNZEQYD&lid=LSTSMNFM3TT2RNZEQYDIGMSRD&marketplace=FLIPKART&cmpid=content_soil-manure_8965229628_gmc
29,Tomato___Bacterial_spot,CUREAL Best Fungicide & Bactericide,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRKHQh4EwbE0ksZ_RTOhsGtvTO68zllR9djrYvUrZ-DO6FYo2kYpmyFL8UgaK6aiHJuUWbkax_uhcxMpGfwSHa2CKWqaIZnFp1vIRbGkrZhtGv-Zq-72y61&usqp=CAE,https://agribegri.com/products/cureal---best-fungicide--bactericide-zinc-based-250-ml.php
30,Tomato___Early_blight,NATIVO FUNGICIDE,https://cdn.dotpe.in/longtail/store-items/6792607/hCYBdDlI.png,https://agribegri.com/products/bayer-nativo.php?utm_source=google&utm_medium=pmax&utm_campaign=General+21072023&utm_term=&utm_campaign=General+21072023&utm_source=adwords&utm_medium=ppc&hsa_acc=7428009962&hsa_cam=17668524651&hsa_grp=&hsa_ad=&hsa_src=x&hsa_tgt=&hsa_kw=&hsa_mt=&hsa_net=adwords&hsa_ver=3&gad_source=1&gclid=EAIaIQobChMIz_70vsX3jAMV6m4PAh3ugRyfEAQYASABEgKETPD_BwE
31,Tomato___Late_blight,ACROBAT FUNGICIDE,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRpQmIM9QZkFI43PPlHVFaSlGdrdMP8LFHXAo9b_OGOQCi3R6G-SsqnCXFR4CU9bVAcyuBGTrQRAkRrU9fm-1TGeXg9PrsB&usqp=CAE,https://www.bighaat.com/products/acrobat-fungicide?variant=31177935519767&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
32,Tomato___Leaf_Mold,Virus Special (Set of Immuno 1 ltr + Enviro 1 ltr),https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQfgH6lswqhV2hUhqZwEfgQBU1eUP1GCvETxg_a3JFOERS2tc80k8gNMbHM_XxReblck1T7tR95X8Qojdj1k0yAyvhmCZHvkFWaT_L-a8ofElEXerVJqvsF&usqp=CAE,https://agribegri.com/products/virus-special-enviroimmuno-1-litre.php
33,Tomato___Septoria_leaf_spot,Roko Fungicide,https://5.imimg.com/data5/SELLER/Default/2023/4/299738030/QF/PU/LP/2062930/new-product.jpg,https://agribegri.com/products/buy-biostadt-roko-thiophanate-methyl-70-wp.php?srsltid=AfmBOoolRrdzUSmdb4wU416cdIdjCyCV4Xt8qyKOUclN5zOAT_KJSDfN
34,Tomato___Spider_mites Two-spotted_spider_mite,OMITE INSECTICIDE,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQxe-M4vyRx94TlpTOw6tlzvagjvaTRCWRLoKd58JML7T3rSV8GJK67YjxIiR-PHL02DL2CHsHPLzExBf6uq7BqxcLPxgmh9w&usqp=CAE,https://www.bighaat.com/products/omite-insecticide?variant=31276117196823&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
35,Tomato___Target_Spot,Propi Propineb 70% WP Fungicide for Plants Diesese Control Pesticide,https://rukminim1.flixcart.com/image/416/416/k3xcdjk0/soil-manure/y/f/j/100-propineb-70-wp-fungicide-for-plants-diesese-control-propi-original-imafmxg3jghhdyt6.jpeg?q=70,https://agribegri.com/products/dfc.php?srsltid=AfmBOopx83Ms7Ow9t5_R1-tIKZKkxyDYdun91Y4G64jVCNB-DqOm0jx1
36,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Syngenta Amistor Top Fungicide,https://krushikendra.com/image/cache/catalog/Sygenta/syngenta-amistar-top-fungicides-500x500-800x800.jpg,https://www.bighaat.com/products/amistar-top-fungicide?srsltid=AfmBOoq1ocLop8cg2fr6Ii8DuPTK8P_GyNYv60nybSryRDa4YTW8Seml
37,Tomato___Tomato_mosaic_virus,V Bind Viral Disease Special,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRmHRAqOUGXt76NPfOMXrUVRvDt8gRYd3-HTexGYI0d4PNmDuLXbfTchIRipVD-hx1wob7hHyVTbmyS85fTcADpBUMezetO&usqp=CAE,https://agribegri.com/products/viricide-online-.php
38,Tomato___healthy,"Tomato Fertilizer Organic, for Home, Balcony, Terrace & Outdoor Gardening",https://cdn.shopify.com/s/files/1/1489/8850/products/Tomato_feretilizer-new_869x868.jpg?v=1582699319,https://www.casagardenshop.com/products/tomato-fertilizer-for-home-terrace-outdoor-gardening?variant=32106353131619&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2020-02-08&utm_source=google&utm_medium=smart_campaign
